turn,focus_rate,focus_n,answer_ok_rate,answer_ok_n,trunc_rate,trunc_n,model,sample_id
1,,0,0.0,1,0.0,1,llava,48
2,,0,1.0,1,0.0,1,llava,48
3,,0,1.0,1,0.0,1,llava,48
4,,0,1.0,1,0.0,1,llava,48
5,,0,1.0,1,0.0,1,llava,48
6,,0,1.0,1,0.0,1,llava,48
7,,0,0.0,1,0.0,1,llava,48
8,,0,1.0,1,0.0,1,llava,48
9,,0,1.0,1,0.0,1,llava,48
10,,0,1.0,1,0.0,1,llava,48
11,,0,1.0,1,0.0,1,llava,48
12,,0,1.0,1,0.0,1,llava,48
13,,0,1.0,1,0.0,1,llava,48
14,,0,1.0,1,0.0,1,llava,48
15,,0,1.0,1,0.0,1,llava,48
16,,0,1.0,1,0.0,1,llava,48
17,,0,1.0,1,0.0,1,llava,48
18,,0,1.0,1,0.0,1,llava,48
19,,0,1.0,1,0.0,1,llava,48
